counts1,counts2,count3,fold1,fold2,fold3
36.3,36.8,40.5,1.0,0.9,0.9
4.7,0.0,6.8,37.8,0.7,0.0
10.2,16.0,16.2,0.6,0.6,1.0
12.1,0.0,16.2,98.3,0.7,0.0
14.0,0.0,14.9,113.5,0.9,0.0
190.7,104.1,83.7,1.8,2.3,1.2
14.9,12.8,20.3,1.2,0.7,0.6
37.2,45.6,25.7,0.8,1.5,1.8
5.6,8.8,5.4,0.6,1.0,1.6
2.8,0.0,1.4,22.7,2.1,0.1
2.8,16.8,4.1,0.2,0.7,4.1
2.8,8.0,4.1,0.3,0.7,2.0
9.3,8.8,8.1,1.1,1.1,1.1
117.2,128.9,102.7,0.9,1.1,1.3
65.1,60.1,56.7,1.1,1.1,1.1
53.0,66.5,68.9,0.8,0.8,1.0
17.7,17.6,14.9,1.0,1.2,1.2
23.3,8.8,16.2,2.6,1.4,0.5
72.6,7.2,21.6,10.1,3.4,0.3
103.3,36.0,39.2,2.9,2.6,0.9
19.5,24.8,32.4,0.8,0.6,0.8
18.6,15.2,13.5,1.2,1.4,1.1
13.0,49.6,24.3,0.3,0.5,2.0
3.7,3.2,2.7,1.2,1.4,1.2
47.5,12.8,24.3,3.7,2.0,0.5
2.8,1.6,1.4,1.7,2.1,1.2
27.9,2.4,8.1,11.6,3.4,0.3
111.7,136.9,105.4,0.8,1.1,1.3
18.6,2.4,14.9,7.7,1.3,0.2
11.2,0.0,9.5,90.8,1.2,0.0
94.0,22.4,97.3,4.2,1.0,0.2
20.5,20.8,18.9,1.0,1.1,1.1
66.1,64.9,52.7,1.0,1.3,1.2
33.5,24.0,31.1,1.4,1.1,0.8
14.9,14.4,13.5,1.0,1.1,1.1
56.8,133.7,85.1,0.4,0.7,1.6
8.4,1.6,9.5,5.2,0.9,0.2
482.9,175.4,114.8,2.8,4.2,1.5
9.3,4.8,8.1,1.9,1.1,0.6
27.0,19.2,29.7,1.4,0.9,0.6
42.8,40.8,40.5,1.0,1.1,1.0
71.6,141.7,72.9,0.5,1.0,1.9
53.0,142.5,109.4,0.4,0.5,1.3
21.4,29.6,25.7,0.7,0.8,1.2
197.3,21.6,16.2,9.1,12.2,1.3
11.2,20.8,18.9,0.5,0.6,1.1
186.1,371.5,403.9,0.5,0.5,0.9
20.5,28.8,33.8,0.7,0.6,0.9
